Sample ID,Group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CCIS13047523ST-4-0,0,-0.93144595,-1.71505352,0.765555788,0.351629763,0.520802506,-0.260953068,-2.92596667,0.178923029,0.080222657,0.006566688
CCIS15794887ST-4-0,0,-0.441112698,-0.464658513,0.075823099,0.246970853,-0.373406954,-0.216301664,0.245163333,0.051787275,-0.042040056,-0.002446744
CCIS16326685ST-4-0,0,-0.029974699,1.182311899,-1.017730382,0.214419289,-0.034270061,1.07969333,-0.088435053,0.319438936,0.055107974,-0.069906314
CCIS16383318ST-4-0,0,-0.374035129,-0.073294547,-1.013789385,-4.697884267,1.989094159,-0.434288138,0.794672976,-0.066502045,-0.106931585,-0.047437265
CCIS16561622ST-4-0,0,-0.193091626,0.515735251,-0.539816022,0.124024999,-0.244201882,0.401640748,0.127237357,0.341543689,0.010970186,-0.042909348
CCIS20795251ST-4-0,0,-0.295378499,0.006562445,-0.233098235,-0.009255399,-0.821405912,-0.421340196,0.124165819,-0.043977904,-0.069222387,0.003857315
CCIS21126322ST-4-0,0,-0.323585707,-0.102398655,-0.133927938,0.07816379,-0.65722575,-0.306950081,0.512289246,-0.019602633,-0.068097407,-5.36E-05
CCIS22906510ST-20-0,0,-0.357980375,-0.049748177,-0.82089056,-0.022552832,0.767462027,0.993690314,-1.447324476,0.815888731,0.141144348,-0.085720088
CCIS23164343ST-4-0,0,-0.617153477,-0.963774228,0.408674496,0.451540032,0.064687636,-0.068902153,-0.156150059,0.120256048,-0.004247418,-0.004612917
CCIS24898163ST-4-0,0,-0.260001879,0.088043396,-0.250126007,0.030676926,-0.833896973,-0.356633592,0.606483923,-0.053979551,-0.080543924,0.001424628
CCIS25399172ST-4-0,0,-0.236793139,0.174881319,-0.320868857,-0.048604484,-0.940842428,-0.434072216,0.393545697,-0.074677574,-0.083332914,0.00395037
CCIS27304052ST-3-0,0,-0.23374283,0.183079896,-0.330085088,-0.089728404,-0.925509151,-0.436300028,0.435317364,-0.078374971,-0.085274652,0.003642533
CCIS27927933ST-4-0,0,-0.456842063,-0.565309444,0.219900485,0.445209702,-0.157787596,0.013445274,1.201101197,0.074118751,-0.048344392,-0.009589896
CCIS29210128ST-4-0,0,-0.523918115,-0.64982806,0.101809731,0.15737766,-0.364159241,-0.388431048,-1.03082503,0.07843051,-0.013245036,0.003716536
CCIS29688262ST-20-0,0,-1.202126017,-2.642981893,1.145853163,0.531155678,1.470517061,0.085549155,-3.100290594,0.501311779,0.148764131,-0.013967182
CCIS31434951ST-20-0,0,-0.157971253,0.461324528,-0.750291871,0.098776801,-0.456112262,0.291632104,0.047699042,0.318674676,0.002719405,-0.040511022
CCIS32105356ST-4-0,0,-0.254482784,0.115804267,-0.28482455,-0.038542899,-0.870647689,-0.410516585,0.431113167,-0.064555058,-0.081160859,0.002954961
CCIS32452666ST-4-0,0,-0.13241024,0.395847765,-0.646644714,0.10392084,-0.466925172,0.224019681,0.162852459,0.251478084,0.048088522,0.002897361
CCIS34604008ST-4-0,0,-0.579257602,-0.849623084,0.237361953,0.065242697,0.00773758,-0.227468144,-0.473127688,0.104241171,-0.01611051,-0.000490375
CCIS35092938ST-4-0,0,-0.318531533,-0.072980446,-0.195874823,-0.081512577,-0.672329099,-0.384952597,0.256629212,-0.032718868,-0.068782547,0.001425774
CCIS36699628ST-4-0,0,-0.622016591,-0.986547265,0.340683925,0.245867987,0.096030776,-0.147258817,-0.384225232,0.141904066,-0.002407075,-0.004914761
CCIS36797902ST-4-0,0,-0.228202933,0.19470764,-0.338607976,-0.058990606,-0.945699459,-0.454104712,0.37705119,-0.079512655,-0.086670127,0.003921301
CCIS37250421ST-4-0,0,-0.358322724,-0.161993924,-0.116847026,-0.037416837,-0.609281586,-0.374152362,-0.011284239,-0.040506364,-0.061003766,0.004547157
CCIS41692898ST-4-0,0,-0.466262351,-0.481486878,-0.001537093,-0.023793281,-0.412856448,-0.395786093,-0.648170754,0.041930425,-0.030100498,0.002676608
CCIS41806458ST-4-0,0,-0.252646909,0.13182765,-0.309642143,-0.145673992,-0.849384706,-0.43489183,0.379530966,-0.074988986,-0.082613928,0.003186761
CCIS44093303ST-4-0,0,-0.702932592,-1.151318979,0.449194304,0.326070784,0.126629593,-0.225430156,-1.351146021,0.133141925,0.022115552,0.001114095
CCIS44676181ST-4-0,0,-0.708383418,-1.139536051,0.519792835,0.339600506,0.223485292,-0.13298887,-1.017791968,0.089941623,0.017491199,0.000343574
CCIS44743950ST-4-0,0,-0.623839707,-0.797979926,0.669496343,0.509843453,0.340955957,0.191675523,0.632765175,-0.137174218,-0.026351427,-0.001376406
CCIS45571137ST-3-0,0,-0.064460325,0.774621559,-1.036200636,0.182521535,-0.292691639,0.696942831,0.145859486,0.489361143,0.036291197,-0.064189377
CCIS45793747ST-4-0,0,-0.439233444,-0.434314657,-0.289350221,-1.981906882,0.594362198,-0.497837487,0.346500906,-0.067563871,-0.063133247,0.000664861
CCIS48174381ST-4-0,0,-0.60397342,-0.536965461,-0.014312479,-1.336942908,1.494507515,0.428669758,-0.594183167,0.058467172,0.029425924,-0.039951485
CCIS48507077ST-4-0,0,0.28312345,1.389714813,-1.763123918,0.399072314,0.381206753,1.864612528,-0.289982889,1.05960883,0.333762511,-0.058012616
CCIS48579360ST-4-0,0,-0.296891626,0.000195653,-0.21933301,-0.006445371,-0.788314036,-0.397053572,0.225289006,-0.045894814,-0.070348456,0.003072849
CCIS50003399ST-4-0,0,-0.45966658,-0.497979076,0.033896731,-0.2599478,-0.077704375,-0.243779389,0.34975625,0.021260059,-0.05011969,-0.005419903
CCIS50369211ST-20-0,0,-1.560461788,-4.286182813,2.843224596,2.830378659,3.673389472,2.141149717,4.752926222,0.860276995,0.135238819,-0.075938693
CCIS50471204ST-4-0,0,-0.448064009,-0.085604172,0.287770279,-0.015084718,-0.237499476,-0.169304928,-0.143720917,-0.395411002,-0.061935938,0.014827887
CCIS51595129ST-4-0,0,-0.116909881,0.58024169,-0.853887884,0.167761127,-0.378667662,0.481877905,0.264287107,0.39427517,0.013735987,-0.051129223
CCIS51667829ST-4-0,0,-0.449117808,-0.467400107,0.037343413,0.076119882,-0.35082385,-0.279479748,-0.014644556,0.044870392,-0.039694772,-0.001266257
CCIS53557295ST-4-0,0,-0.477504066,-0.335455063,0.439763255,0.347737404,-0.13084202,-0.066598468,0.677578619,0.034398539,-0.043873134,-0.002737513
CCIS54027808ST-4-0,0,-0.435603341,-0.458181987,-1.058130328,-5.41658666,2.834681978,-0.290031536,0.81793473,0.116519658,-0.024764192,-0.03063259
CCIS55531770ST-4-0,0,-0.288151086,0.02326209,-0.253150973,-0.064692798,-0.79852713,-0.434194371,0.157983025,-0.049515382,-0.073115094,0.003314349
CCIS59903910ST-4-0,0,0.276407813,-0.026917604,-0.21718608,-0.370987292,-0.651715814,-0.461537777,0.38302561,-0.108347943,0.546454055,0.339712344
CCIS63448910ST-4-0,0,-0.972831965,-1.943386903,0.787218126,0.467178071,0.600974605,-0.24766685,-2.945675207,0.316356286,0.09400027,0.001304044
CCIS63468405ST-4-0,0,0.016096308,0.509460379,-0.825514761,0.226640674,-0.138574875,0.764152879,-0.013488966,0.508069183,-0.166110258,0.054561692
CCIS63910149ST-4-0,0,-0.644773241,-1.147786805,0.557786651,0.694059482,0.319176497,0.16671686,0.844928672,0.195105047,-0.007538443,-0.01420626
CCIS64773582ST-4-0,0,-0.238859216,0.257625671,-0.591404275,0.305082678,-0.070754435,0.565163602,-0.007550836,0.49616178,0.041696086,-0.053930942
CCIS64785924ST-20-0,0,-0.432499243,-0.385243557,-0.232576945,-1.278986515,0.164162896,-0.469995832,0.104679204,-0.027616819,-0.068814921,-0.006999182
CCIS70398272ST-4-0,0,-0.373941483,-0.23993741,-0.091579233,-0.009235702,-0.521083607,-0.322500346,0.194806477,0.000652044,-0.056438661,-0.000267269
CCIS71578391ST-4-0,0,-0.231507353,0.210555174,-0.488551232,0.090359529,-0.520504384,0.048853911,0.237143569,0.182116555,-0.025693851,-0.024059278
CCIS74239020ST-4-0,0,-0.218308287,0.239685188,-0.521396269,0.138421715,-0.424257677,0.174180475,0.426085673,0.229907196,-0.019543112,-0.030901698
CCIS74726977ST-3-0,0,-0.107040933,0.690474139,-1.057769448,0.190830082,0.053557578,0.939003745,-0.197699357,0.625612238,0.074971526,-0.078220941
CCIS76563044ST-4-0,0,-0.082452887,0.722045355,-1.164129905,0.30713788,0.1492096,1.137591535,-0.046922441,0.751539709,0.093526491,-0.090656398
CCIS78100604ST-4-0,0,-0.490307654,-0.49738246,0.240701421,0.129885092,-0.093899715,-0.109341796,0.365179583,-0.068021176,-0.044071733,-0.000752025
CCIS79210440ST-3-0,0,-0.032493914,0.785337697,-1.063853759,0.134626152,-0.333161886,0.650475133,0.075530814,0.488609422,0.065628476,-0.042674385
CCIS80834637ST-4-0,0,-0.877820377,-1.721566759,0.714421878,0.425613228,0.604472081,-0.0994941,-1.634759019,0.283278579,0.061134127,-0.005319682
CCIS81139242ST-4-0,0,-0.643987629,-1.110165782,0.350483705,0.274558601,-0.047929127,-0.34779931,-1.787264811,0.158236982,0.078067421,0.037424779
CCIS81710917ST-20-0,0,-0.21334949,0.220669012,-0.327551532,0.000314909,-0.803507018,-0.275557952,0.31185258,-0.025421024,-0.051030462,-0.012696931
CCIS82507866ST-3-0,0,-0.235478466,0.177971768,-0.328268117,-0.08674059,-0.924527319,-0.440404513,0.409959441,-0.077814548,-0.084902505,0.003760352
CCIS82944710ST-20-0,0,-0.602841234,-0.981201791,0.381599994,0.293128381,0.227582768,-0.000634496,0.473421981,0.147725285,-0.016185251,-0.010884316
CCIS83445808ST-4-0,0,-0.248823858,0.234043516,-0.249130694,-0.163720997,-0.811779901,-0.400676825,0.390695952,-0.18557191,-0.089632554,0.006709987
CCIS88007743ST-4-0,0,-0.544348129,-0.087710636,0.679881073,-0.050361711,0.22741633,0.043110609,-0.125525957,-0.700403602,-0.066081492,0.0228821
CCIS88317640ST-4-0,0,-0.68607048,-1.208359271,-0.271253167,-4.294993673,2.400595153,-0.593880245,0.134299419,-0.014028065,-0.123218109,-0.005562702
CCIS90164298ST-4-0,0,-0.211862156,-0.030975919,-0.191438195,0.002532898,-0.772097823,-0.37955774,0.296124768,-0.044797431,-0.064431515,-0.119194277
CCIS93040568ST-20-0,0,-0.572714984,-0.814283458,0.13255228,0.244284236,-0.077967986,-0.171062939,-1.354363702,0.214051754,0.009902775,0.001189659
CCIS94417875ST-3-0,0,-0.29486034,-0.019361854,-0.180342533,0.071592089,-0.730667812,-0.317586973,0.601259987,-0.036167381,-0.074166349,0.000358326
CCIS94496512ST-4-0,0,-0.734682377,-1.338601725,0.566657135,0.502428519,0.342886281,-0.030933428,-0.557919978,0.219143677,0.023862191,-0.007409416
CCIS94603952ST-4-0,0,-0.309742622,-0.04466279,-0.196620532,-0.011469069,-0.734160082,-0.380494462,0.262406476,-0.036090668,-0.068769775,0.002188443
CCIS95097901ST-4-0,0,-0.693077238,-0.138128837,1.44325355,0.523572274,0.807866778,0.594319001,0.537951608,-1.1225964,-0.064946483,0.033140595
CCIS95409808ST-4-0,0,-0.321986884,-0.088068645,-0.194371106,0.010782155,-0.574566193,-0.262816971,0.347859118,0.023525725,-0.058120617,-0.004604719
CCIS96387239ST-4-0,0,-0.023030894,0.90502539,-1.257713133,0.216311791,-0.070320517,1.020295393,0.025660727,0.684648152,0.074693859,-0.085478208
CCIS98482370ST-3-0,0,-0.090451242,0.672182018,-0.927531147,0.139747857,-0.409973464,0.49947952,0.199712498,0.403335157,0.015679861,-0.053064167
CCIS02379307ST-4-0,1,0.320009598,0.174347654,-0.342467983,0.250339394,-0.397359776,-0.871279474,0.286035829,-0.216422203,0.35475199,0.354549371
CCIS06260551ST-3-0,1,-0.291344534,1.690678143,1.14458905,-0.095561703,-0.278632866,0.117264652,0.131970674,-1.60984543,-0.170165447,0.072320211
CCIS11015875ST-4-0,1,-0.234647227,0.11087698,-0.28659838,0.031116624,-0.815108746,-0.44848512,0.435448756,-0.068613646,-0.102085552,0.006783585
CCIS12370844ST-4-0,1,-0.382890557,-0.296906389,-0.009410179,0.226159139,-0.487229513,-0.207269677,0.544656384,0.027968787,-0.054380825,-0.003050679
CCIS12656533ST-4-0,1,-0.065053233,1.684614281,0.646360888,0.295554441,0.439812226,-0.51921287,0.154362191,-1.965266037,-0.337304111,0.04920488
CCIS14449628ST-4-0,1,-0.100506312,2.046261675,1.241304791,0.038354179,0.342974086,0.053786289,0.076599555,-2.536656802,-0.2479778,-0.025328953
CCIS15704761ST-4-0,1,0.083531725,0.179073004,-0.292164176,-0.090028188,-0.971701079,-0.444370977,0.419638886,-0.110352451,0.180144284,0.036979233
CCIS17669415ST-4-0,1,-0.367038152,-0.599611813,-0.137680187,-1.869484663,0.730521114,-0.480742365,0.008775357,-0.085502904,0.061860638,0.085099672
CCIS21278152ST-4-0,1,0.080701055,0.80222171,-1.154156433,0.277719083,-0.042480671,1.046577676,-0.001888061,0.674118929,0.089355046,-0.270084946
CCIS22416007ST-4-0,1,-0.77029724,-1.462830926,0.718760464,0.732633146,0.484236415,0.116606177,-0.148033677,0.254963029,0.028537707,-0.011129389
CCIS22958137ST-20-0,1,-0.082592138,1.217362276,-0.879005112,0.348332504,0.451739066,1.46776518,-0.664290818,0.279357587,0.081507974,-0.071269459
CCIS24254057ST-4-0,1,-0.451304302,6.847013129,7.643925828,-0.765229761,0.596702027,-1.808207726,-0.020897544,4.265620397,0.045536536,-0.011169445
CCIS33816588ST-4-0,1,6.184912978,-0.479167879,0.310256505,0.563438152,0.45421612,-1.682739326,0.31863705,-0.414885701,2.183670852,-0.210144774
CCIS34055159ST-4-0,1,0.108532987,0.924441718,-0.901680157,0.155727151,-0.096233473,0.633344422,-0.008704335,0.237846521,0.093251188,-0.120688479
CCIS35100175ST-4-0,1,1.787800379,1.070117075,-1.758525399,0.277315474,1.33485731,1.151091649,-0.374139428,0.927658675,1.207974987,0.050868195
CCIS38765456ST-20-0,1,4.256421249,-0.738487165,0.541031607,-0.245645635,-0.751496588,0.556009684,-0.152011943,0.25690937,-2.863933629,-1.372770869
CCIS40244499ST-3-0,1,0.732666245,4.195637362,-0.98536613,0.333702061,2.157569664,4.142428134,-0.869895763,-0.808903661,0.352610861,-0.486013433
CCIS41222843ST-4-0,1,-0.411090455,-0.335247269,-0.01999619,0.099280303,-0.504298768,-0.320330794,-0.068627869,0.010962453,-0.045661535,0.001350274
CCIS41288781ST-4-0,1,-0.746111426,-0.286199181,1.621686921,0.74166847,0.979464838,0.734504906,0.759585198,-1.124365124,-0.057658782,0.031503248
CCIS41548810ST-4-0,1,-0.224139173,0.230123531,-0.3207266,-0.065180137,-0.962099027,-0.435905254,0.401312145,-0.110426282,-0.090546769,0.007286242
CCIS44757994ST-4-0,1,-0.181200777,0.188545031,-0.31982646,-0.056795241,-0.960411758,-0.418217448,0.458269017,-0.073897721,-0.147298037,0.037581193
CCIS46047672ST-4-0,1,-0.288557836,1.436848275,0.853150096,-0.084434529,-0.410084754,0.058375275,0.1891725,-1.463754301,-0.145673628,0.056036922
CCIS46467422ST-4-0,1,-0.307580823,-0.026499502,-0.225895209,-0.057024836,-0.775748827,-0.427921461,0.060289124,-0.040179305,-0.067163335,0.003653764
CCIS47284573ST-4-0,1,-0.313931856,-0.025219591,-0.184751858,-0.025661268,-0.739761935,-0.398063336,0.111971734,-0.065737061,-0.068206974,0.004120919
CCIS48725289ST-4-0,1,-0.333303964,-0.104912527,-0.140312755,0.054392893,-0.688380621,-0.358477028,0.184613763,-0.035230188,-0.063723363,0.002493035
CCIS50148151ST-4-0,1,-0.721997879,2.358140491,3.14591928,0.131645405,1.339773748,1.216521352,-1.294852195,-4.051983378,-0.190123947,0.148418093
CCIS52370277ST-4-0,1,-0.600984612,-0.428950366,0.79543489,0.391049027,0.328842948,0.061741872,-0.083015477,-0.416973022,-0.046990881,0.01258849
CCIS53043478ST-4-0,1,1.639096708,-0.058659761,-0.099670105,-0.023573792,-0.719321151,-0.411342845,0.247207567,-0.138633323,1.00849979,-0.677595841
CCIS53355328ST-4-0,1,2.219202262,0.107559015,0.552061241,-0.302242865,-0.498168561,-0.26350977,0.261281059,-0.812516991,2.458892711,0.983274367
CCIS55230578ST-4-0,1,-0.263834301,-0.075076618,-0.12058217,0.041723661,-0.710948607,-0.340414993,0.146843254,-0.038080091,-0.147924519,0.049247927
CCIS58234805ST-4-0,1,14.15022096,-2.110525076,2.105268257,-0.769387304,-0.326656167,0.729728247,-0.253696264,-0.103882263,-0.164562579,-0.404315921
CCIS59132091ST-4-0,1,-0.801667616,-1.689621344,0.810046111,0.775562963,0.613885894,0.11268964,-0.574033965,0.289707774,0.049304966,-0.066754401
CCIS61287323ST-4-0,1,4.019571212,-0.211134073,-0.20292149,-0.050482631,0.004364722,1.664203534,-0.253207016,0.927326934,-1.782580466,2.866541681
CCIS62605362ST-3-0,1,-0.26398511,0.011596803,-0.234021722,-0.006633364,-0.827479766,-0.428060146,0.123441766,-0.047985835,-0.068956035,-0.033695516
CCIS62794166ST-4-0,1,-0.365319725,-0.197245726,-0.116577305,0.05624952,-0.662328729,-0.392816809,-0.133384125,-0.000151438,-0.052981278,0.003014283
CCIS65479369ST-4-0,1,2.682322459,2.907463456,-4.124697627,4.003718692,5.556156726,-5.077920572,0.060706647,-0.195680102,-0.907752676,0.09603098
CCIS71301801ST-4-0,1,0.099796959,1.264235755,-1.546302653,0.360661159,0.191273467,1.376889239,-0.20366062,0.809999446,0.106641577,-0.122809819
CCIS72607085ST-4-0,1,-0.296085996,1.375519457,0.807283951,-0.028250398,-0.389239376,0.13972498,0.172798582,-1.657586525,-0.151773608,0.060860108
CCIS76845094ST-20-0,1,-0.330418051,-0.376291459,0.036763936,0.416255431,0.005982919,-0.658370534,-0.624432326,-0.130279658,-0.117807596,-0.054619445
CCIS77252613ST-4-0,1,-0.177456582,0.397735655,-0.649329176,0.038739202,-0.532537381,0.140191065,0.157386234,0.224285171,-0.01715056,-0.03094486
