SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10
0,0,8.11E-06,0,0.000112294,0,0,0.083901257,2.76E-05,0.001689107
0,0,1.68E-05,0,0,0,0,0.01616491,0.008608751,0.000230384
0,0,0,0,0.000338215,0,0.009901915,0.003756165,0.000434738,0.000256824
0,0,0,0,7.26E-05,0,0.002593607,0.001768882,0.000820523,0.063507003
0,0,0,0,0.000115813,6.90E-05,0.005362932,0.007174637,0.003353263,0.000998779
0,0,0,0,0,0,0,0.008310715,0.000541745,9.60E-05
0,0,0,0,2.65E-06,1.64E-06,0,0.005467554,0.005607492,0.000472628
0,0,0,0,0,0,0.00984439,0.041361627,0.001077471,0.00680469
0,0,3.31E-06,0,3.51E-05,0,5.62E-06,0.03181801,0.012859519,0.000348179
0,0,0,0,0,0,2.38E-05,0.000421172,0.003687477,0
0,0,0,0,0,0,9.44E-06,0.00144597,0.000475055,7.09E-06
0,0,0,0,0,0,3.19E-06,0.000700541,0.000617216,0.000542668
0,0,0,0,7.68E-06,0,1.49E-06,0.005784953,0.018715396,0.000234939
0,0,3.77E-05,0,0,0,0,0.036543713,3.35E-06,0.000179128
0,0,3.91E-05,0,1.16E-05,0,0.000709579,0.104123192,0.011419333,0.005347871
0,0,0,0,0,0,0.005078451,0.006279317,0.000775824,0.000340549
0,0,9.32E-06,0,0,0,0,0.002117431,0.001617565,0.000347044
9.89E-06,0,1.30E-05,0,1.88E-05,0,0.004402282,0.005392168,0.001887442,0.000359083
0,0,0,3.41E-06,9.88E-06,0,0,0.033137591,0.007382345,0.003682278
0,0,1.09E-05,0,0,0,0,0.008092714,0.002598792,0.001794354
0,0,0,0,4.07E-06,0,4.47E-06,0.034732112,0.010378313,0.002465546
0,0,5.52E-05,0,0,0,1.50E-05,0.001327318,7.10E-05,7.80E-05
0,0,0,1.93E-06,2.97E-05,0,0,0.013744895,0.001952559,0.00145435
0,0,0,0,0,0,0,0.028044661,0.000548272,0.002009073
0,0,1.81E-06,0,3.73E-06,0,2.07E-06,0.002450287,0.000750729,0.001496833
0,0,3.44E-05,0,4.91E-05,0,0,0.051333068,0.005055254,0.001006078
0,0,0,0,9.90E-05,0,0,0.047318078,0.00834136,0.001607232
0,0,5.85E-06,0,0.000304913,0,2.25E-05,0.021629322,0.020622569,0.001535837
0,0,0,0,1.86E-05,0,0.007841261,0.002291858,0.001473843,9.66E-05
3.33E-06,0,6.14E-06,0,2.06E-05,0,1.75E-06,0.01293078,0.004092424,0.028252036
0,0,0,0,0.000368589,0,0.004392755,0.037191325,0.008880295,0.025060607
2.98E-05,5.20E-06,0,4.13E-06,5.30E-05,0,0.01612041,0.00544877,0.001051959,0.000147985
0,0,0,0,4.88E-06,0,9.63E-06,0.007179908,0.001570687,0.00033051
0,0,7.87E-06,0,1.77E-05,0,0,0.015313537,0.008982357,0.007086657
0,0,0,0,0,0,0,0.033671787,0.105351508,0.001415208
