Microbe species,Relative Abundance
Peptostreptococcus stomatis,1.74E-05
Peptostreptococcus stomatis,1.06E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,5.29E-06
Peptostreptococcus stomatis,5.47E-06
Peptostreptococcus stomatis,1.36E-05
Peptostreptococcus stomatis,4.94E-05
Peptostreptococcus stomatis,1.06E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,1.20E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,2.31E-05
Peptostreptococcus stomatis,1.00E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,8.11E-06
Peptostreptococcus stomatis,1.68E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,3.31E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,3.77E-05
Peptostreptococcus stomatis,3.91E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,9.32E-06
Peptostreptococcus stomatis,1.30E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,1.09E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,5.52E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,5.85E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,6.14E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,7.87E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,6.23E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,1.49E-05
Peptostreptococcus stomatis,3.65E-05
Peptostreptococcus stomatis,2.57E-05
Peptostreptococcus stomatis,3.90E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,2.18E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,3.05E-06
Peptostreptococcus stomatis,2.08E-05
Peptostreptococcus stomatis,1.26E-05
Peptostreptococcus stomatis,6.63E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,5.63E-06
Peptostreptococcus stomatis,1.29E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,7.12E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,2.23E-05
Peptostreptococcus stomatis,4.60E-05
Peptostreptococcus stomatis,1.17E-05
Peptostreptococcus stomatis,2.70E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,1.76E-05
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,4.47E-06
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,0
Peptostreptococcus stomatis,1.81E-06
Peptostreptococcus stomatis,3.44E-05
Peptostreptococcus stomatis,3.15E-05
Peptostreptococcus stomatis,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,1.28E-06
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,5.20E-06
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,9.66E-06
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,2.41E-06
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,1.57E-05
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Fusobacterium nucleatum_2,0
Streptococcus salivarius,0.000463147
Streptococcus salivarius,0.000280748
Streptococcus salivarius,0.000186945
Streptococcus salivarius,0.003161427
Streptococcus salivarius,0.009032617
Streptococcus salivarius,5.11E-05
Streptococcus salivarius,0.000345383
Streptococcus salivarius,0.004868031
Streptococcus salivarius,0.000187051
Streptococcus salivarius,0.000474273
Streptococcus salivarius,0.000754852
Streptococcus salivarius,0.000442157
Streptococcus salivarius,0.045710914
Streptococcus salivarius,0.002668002
Streptococcus salivarius,0.014951539
Streptococcus salivarius,0.000994882
Streptococcus salivarius,0.001689107
Streptococcus salivarius,0.000230384
Streptococcus salivarius,0.000256824
Streptococcus salivarius,0.063507003
Streptococcus salivarius,0.000998779
Streptococcus salivarius,9.60E-05
Streptococcus salivarius,0.000472628
Streptococcus salivarius,0.000348179
Streptococcus salivarius,0
Streptococcus salivarius,7.09E-06
Streptococcus salivarius,0.000542668
Streptococcus salivarius,0.000234939
Streptococcus salivarius,0.000179128
Streptococcus salivarius,0.005347871
Streptococcus salivarius,0.000340549
Streptococcus salivarius,0.000347044
Streptococcus salivarius,0.000359083
Streptococcus salivarius,0.003682278
Streptococcus salivarius,0.001794354
Streptococcus salivarius,0.002465546
Streptococcus salivarius,7.80E-05
Streptococcus salivarius,0.002009073
Streptococcus salivarius,0.001607232
Streptococcus salivarius,0.001535837
Streptococcus salivarius,9.66E-05
Streptococcus salivarius,0.028252036
Streptococcus salivarius,0.025060607
Streptococcus salivarius,0.000147985
Streptococcus salivarius,0.00033051
Streptococcus salivarius,0.007086657
Streptococcus salivarius,0.001415208
Streptococcus salivarius,0.002622184
Streptococcus salivarius,0.000113309
Streptococcus salivarius,0.001867775
Streptococcus salivarius,0.000420894
Streptococcus salivarius,0.000816661
Streptococcus salivarius,0.004603683
Streptococcus salivarius,0.001165862
Streptococcus salivarius,0.000337858
Streptococcus salivarius,0.000249195
Streptococcus salivarius,0.000214626
Streptococcus salivarius,0.018550562
