Microbe species,Relative Abundance
SP3,1.74E-05
SP3,1.06E-05
SP3,0
SP3,5.29E-06
SP3,5.47E-06
SP3,1.36E-05
SP3,4.94E-05
SP3,1.06E-05
SP3,0
SP3,0
SP3,1.20E-05
SP3,0
SP3,0
SP3,2.31E-05
SP3,1.00E-05
SP3,0
SP3,8.11E-06
SP3,1.68E-05
SP3,0
SP3,0
SP3,0
SP3,0
SP3,0
SP3,3.31E-06
SP3,0
SP3,0
SP3,0
SP3,0
SP3,3.77E-05
SP3,3.91E-05
SP3,0
SP3,9.32E-06
SP3,1.30E-05
SP3,0
SP3,1.09E-05
SP3,0
SP3,5.52E-05
SP3,0
SP3,0
SP3,5.85E-06
SP3,0
SP3,6.14E-06
SP3,0
SP3,0
SP3,0
SP3,7.87E-06
SP3,0
SP3,6.23E-06
SP3,0
SP3,0
SP3,1.49E-05
SP3,3.65E-05
SP3,2.57E-05
SP3,3.90E-05
SP3,0
SP3,2.18E-05
SP3,0
SP3,0
SP3,0
SP3,3.05E-06
SP3,2.08E-05
SP3,1.26E-05
SP3,6.63E-06
SP3,0
SP3,5.63E-06
SP3,1.29E-05
SP3,0
SP3,7.12E-06
SP3,0
SP3,2.23E-05
SP3,4.60E-05
SP3,1.17E-05
SP3,2.70E-05
SP3,0
SP3,0
SP3,0
SP3,0
SP3,0
SP3,1.76E-05
SP3,0
SP3,4.47E-06
SP3,0
SP3,0
SP3,0
SP3,1.81E-06
SP3,3.44E-05
SP3,3.15E-05
SP3,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,1.28E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,5.20E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,9.66E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,2.41E-06
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,1.57E-05
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
SP2,0
